ref_date,option_price,sigma_impl,asset_price,option_ticker,ticker,K,expiry,r,t,call_option,D_call_option,D_sigma_impl,sqrt_t,D_S,delta_bs,vega_bs,y_serie,a,b,c,delta_mv,portfolio_bs,cashflow_delta_bs,dt,cash_account_bs,pl_cumulative_bs,portfolio_mv,cashflow_delta_mv,cash_account_mv,pl_cumulative_mv
2023-06-26,19.65,26.53,328.6,MSFT US 08/18/23 C320 Equity,MSFT US Equity,320,2023-08-18,0.02,0.147222222,18.461823814347923,-4.52784395257342,0.2789999999999999,0.3836954808177965,-6.419999999999959,0.6332034330051393,47.46903608818554,0.19142011367042852,-4.390410669239354,13.107970532559364,-9.570301942897242,0.6604695240220155,-189.60882427114086,-22.00026680058121,0.008333333999999998,190.12501822478626,0.5161939536453986,-198.5684617792864,-23.96917313543995,203.41682881327486,4.848367033988467
2023-06-27,23.8,26.766,334.57,MSFT US 08/18/23 C320 Equity,MSFT US Equity,320,2023-08-18,0.02,0.144444444,22.417320914169125,3.9554970998212013,0.2359999999999971,0.3800584744483407,5.96999999999997,0.6974067496172526,44.38295079147447,-0.09982848972752412,-4.390410669239354,13.107970532559364,-9.570301942897242,0.7310578343588576,-210.91405530527507,21.48050363891475,0.0027777780000000085,211.6160846589668,0.7020293536917279,-222.17269872727385,23.61673098939726,227.044861052431,4.872162325157149
2023-06-28,23.2,27.275,335.85,MSFT US 08/18/23 C320 Equity,MSFT US Equity,320,2023-08-18,0.02,0.141666667,23.41371931370901,0.9963983995398848,0.5090000000000003,0.37638632679734796,1.2800000000000296,0.7087861550629114,43.355073876230314,0.20307710831542525,-4.390410669239354,13.107970532559364,-9.570301942897242,0.7404872082475882,-214.63211086416982,3.8217733189245258,0.002777777000000009,215.44961475032116,0.8175038861513428,-225.2789095762435,3.1668552205301563,230.22433022320533,4.945420646961821
2023-06-29,22.75,26.924,335.05,MSFT US 08/18/23 C320 Equity,MSFT US Equity,320,2023-08-18,0.02,0.138888889,22.568833176303826,-0.844886137405183,-0.3509999999999991,0.37267799639903615,-0.8000000000000114,0.7039809498533572,43.15138071398178,1.0189377713456518,-4.390410669239354,13.107970532559364,-9.570301942897242,0.7366083318916256,-213.29998407206352,-1.6099840054611303,0.0027777780000000085,213.85160050134945,0.5516164292859287,-224.23178842398534,-1.2996175230652771,228.93750329702235,4.70571487303701
2023-06-30,27.85,26.86,340.54,MSFT US 08/18/23 C320 Equity,MSFT US Equity,320,2023-08-18,0.02,0.136111111,26.437976203120257,3.869143026816431,-0.06400000000000006,0.36893239353572627,5.490000000000009,0.759537127153457,39.097969049681275,-0.17601295214600657,-4.390410669239354,13.107970532559364,-9.570301942897242,0.7733869192600654,-232.21479707771803,18.919100617775975,0.0027777779999999808,232.78258209457226,0.5677850168542307,-236.93120528170246,12.524580142448512,241.47480254397675,4.5435972622742895
2023-07-03,25.3,26.502,337.99,MSFT US 08/18/23 C320 Equity,MSFT US Equity,320,2023-08-18,0.02,0.127777778,24.01506201297866,-2.422914190141597,-0.35800000000000054,0.3574601768029552,-2.5500000000000114,0.7427024108426841,38.977730675314575,0.6430568591507327,-4.390410669239354,13.107970532559364,-9.570301942897242,0.7639519023883925,-227.01092582774012,-5.689965765878144,0.008333332999999998,227.13141665742876,0.12049082968863445,-234.19304147527413,-3.18894135245673,238.32611034433694,4.133068869062811
2023-07-05,25.3,26.844,338.15,MSFT US 08/18/23 C320 Equity,MSFT US Equity,320,2023-08-18,0.02,0.122222222,24.012423711300528,-0.002638301678132393,0.3420000000000023,0.34960294907222966,0.15999999999996817,0.7456376675614615,37.91129660019619,-2.3765295528151595,-4.390410669239354,13.107970532559364,-9.570301942897242,0.7656910599588928,-228.12495357460767,0.9925570594546045,0.005555556000000003,228.14921194507332,0.024258370465645385,-234.90600821379905,0.5880961324646593,238.94068862905078,4.034680415251728
2023-07-06,27.48,28.809,341.27,MSFT US 08/18/23 C320 Equity,MSFT US Equity,320,2023-08-18,0.02,0.119444444,26.96616775716376,2.953744045863232,1.9649999999999999,0.34560735524580494,3.1200000000000045,0.7642715301987248,36.30675696608922,0.5926752629804993,-4.390410669239354,13.107970532559364,-9.570301942897242,0.7758210850535179,-233.85677735375504,6.3591783022188455,0.0027777780000000085,234.52106555661405,0.6642882028590122,-237.79829393905027,3.457073664042717,242.4110371455996,4.6127432065493394
2023-07-07,25.0,28.137,337.22,MSFT US 08/18/23 C320 Equity,MSFT US Equity,320,2023-08-18,0.02,0.116666667,23.548518173502828,-3.417649583660932,-0.6720000000000006,0.34156502601993666,-4.0499999999999545,0.7316179043375868,37.969940041406694,0.34050102079532485,-4.390410669239354,13.107970532559364,-9.570301942897242,0.7569910413573823,-223.1676715272182,-11.01145571289298,0.002777776999999995,223.5226391500812,0.35496762286300054,-231.72400079303364,-6.349867335210852,236.07463746055717,4.350636667523531
2023-07-10,20.47,28.629,331.83,MSFT US 08/18/23 C320 Equity,MSFT US Equity,320,2023-08-18,0.02,0.108333333,19.500264736417677,-4.048253437085151,0.4920000000000009,0.329140293795822,-5.390000000000043,0.675573674319184,39.28089257519959,0.20990673421668618,-4.390410669239354,13.107970532559364,-9.570301942897242,0.7104979837447264,-204.67534761291714,-18.597156847006584,0.008333333999999998,204.96273918390068,0.2873915709835444,-216.26428120959488,-15.427791307607599,220.68619520800442,4.421913998409536
