date,open,high,low,close
3-Jul-20,9.333679919,9.431481576,9.269896229,9.346436657
6-Jul-20,9.520778742,9.720634303,9.486760774,9.571805694
7-Jul-20,9.499517512,9.55479671,9.414472592,9.452742806
8-Jul-20,9.546292218,9.678111843,9.525030988,9.631337137
9-Jul-20,9.686616335,9.699373073,9.380454625,9.414472592
10-Jul-20,9.435733822,9.631337137,9.380454625,9.571805694
13-Jul-20,9.614328153,9.631337137,9.422977084,9.422977084
14-Jul-20,9.410220346,9.763156762,9.295409705,9.737643287
15-Jul-20,9.865210666,9.963012323,9.716382057,9.92474211
16-Jul-20,9.848201682,9.899228634,9.57605794,9.661102859
17-Jul-20,9.707877565,9.792922484,9.601571415,9.669607351
20-Jul-20,9.652598367,9.741895533,9.57605794,9.669607351
21-Jul-20,9.843949436,10.0353005,9.83969719,9.937498848
22-Jul-20,9.907733126,9.954507831,9.784417992,9.801426976
23-Jul-20,9.84839865,9.878164967,9.584754127,9.59751112
24-Jul-20,9.584754127,9.80587534,9.533726154,9.665548416
27-Jul-20,9.72508105,9.886669629,9.546483147,9.865407974
28-Jul-20,9.797370678,9.916435946,9.695314733,9.695314733
29-Jul-20,9.793118347,9.886669629,9.746342705,9.852650981
30-Jul-20,9.746342705,9.746342705,9.567744802,9.703819395
31-Jul-20,9.746342705,9.839893988,9.423165548,9.440174872
3-Aug-20,9.584754127,9.589006458,9.236062983,9.270081631
4-Aug-20,9.125502376,9.376389906,9.036203425,9.261576969
5-Aug-20,9.452931865,9.899426622,9.452931865,9.856903312
6-Aug-20,9.899426622,10.0057349,9.784613685,9.873912636
7-Aug-20,9.720828719,9.742090374,9.589006458,9.691062402
10-Aug-20,9.737838043,9.97171625,9.627277437,9.97171625
11-Aug-20,10.08227686,10.15456648,9.80587534,9.814380002
12-Aug-20,9.93344527,10.06951986,9.814380002,9.984473243
13-Aug-20,9.97171625,10.02699655,9.657043754,9.712324057
14-Aug-20,9.68255774,9.771856692,9.580501796,9.64003443
17-Aug-20,9.644286761,9.712324057,9.418913217,9.610268113
18-Aug-20,9.750595036,9.882417298,9.68255774,9.788866016
19-Aug-20,9.759099698,9.916435946,9.674053078,9.733585712
20-Aug-20,9.576249464,9.72508105,9.503959837,9.665548416
21-Aug-20,9.584754127,9.623025106,9.503959837,9.593258789
24-Aug-20,9.720828719,9.835641657,9.695314733,9.767604361
25-Aug-20,9.818632333,9.844146319,9.648539092,9.72508105
26-Aug-20,9.686810071,9.737838043,9.372137575,9.448679534
27-Aug-20,9.491202844,9.554987809,9.372137575,9.418913217
28-Aug-20,9.461436527,9.584754127,9.380642237,9.584754127
31-Aug-20,9.491202844,9.537978485,9.30835261,9.30835261
1-Sep-20,9.440174872,9.733585712,9.406156224,9.72508105
2-Sep-20,9.750595036,9.822884664,9.576249464,9.695314733
3-Sep-20,9.614520444,9.831389326,9.59751112,9.729333381
4-Sep-20,9.780361354,9.793118347,9.601763451,9.746342705
8-Sep-20,9.567744802,9.567744802,9.316857272,9.465688858
9-Sep-20,9.563492471,9.68255774,9.563492471,9.665548416
10-Sep-20,9.601763451,9.601763451,9.401903893,9.406156224
11-Sep-20,9.406156224,9.465688858,9.248819976,9.304100279
14-Sep-20,9.329614265,9.346623589,9.112745383,9.219053659
15-Sep-20,9.346623589,9.389146899,9.163773355,9.214801328
16-Sep-20,9.291343286,9.35087592,9.18503501,9.240315314
17-Sep-20,9.146764031,9.427417879,9.125502376,9.418913217
18-Sep-20,9.35087592,9.418913217,9.163773355,9.206296665
21-Sep-20,9.053212749,9.125502376,8.84910086,8.887371839
22-Sep-20,8.912885825,9.078726735,8.823586873,8.844848528
23-Sep-20,8.844848528,8.912885825,8.589708667,8.60246566
24-Sep-20,8.606717991,8.806577549,8.530176033,8.674755288
25-Sep-20,8.568447012,8.615222653,8.449381743,8.55994235
28-Sep-20,8.64498897,8.742792584,8.347325799,8.347325799
29-Sep-20,8.347325799,8.445129412,8.18573722,8.211251206
30-Sep-20,8.292045495,8.521671371,8.262279178,8.338821137
1-Oct-20,8.35157813,8.530176033,8.134709248,8.440877081
2-Oct-20,8.389849109,8.39410144,8.087933606,8.087933606
5-Oct-20,8.232512861,8.572699343,8.181484889,8.51741904
6-Oct-20,8.704521605,8.802325218,8.474895729,8.474895729
7-Oct-20,8.504662047,8.525923702,8.317559482,8.415363095
8-Oct-20,8.521671371,8.755549577,8.445129412,8.691764612
9-Oct-20,8.649241301,8.670502957,8.419615426,8.419615426
13-Oct-20,8.466391067,8.55994235,8.389849109,8.55994235
14-Oct-20,8.542933026,8.661998294,8.491905054,8.491905054
15-Oct-20,8.343073468,8.406858433,8.266531509,8.398353771
16-Oct-20,8.364335123,8.381344447,8.215503537,8.219755868
19-Oct-20,8.253774516,8.47914806,8.18573722,8.300550158
20-Oct-20,8.364335123,8.619474984,8.330316475,8.581204005
21-Oct-20,8.572699343,8.64498897,8.432372419,8.572699343
22-Oct-20,8.547185357,8.861857853,8.525923702,8.861857853
23-Oct-20,8.904381163,8.989427783,8.734287922,8.747044915
26-Oct-20,8.64498897,8.730035591,8.51741904,8.610970322
27-Oct-20,8.615222653,8.661998294,8.423867757,8.453634074
28-Oct-20,8.22826053,8.266531509,7.939102021,7.939102021
29-Oct-20,7.837046076,8.236765192,7.543635235,8.202746544
30-Oct-20,8.138961579,8.30905482,8.024148641,8.053914958
3-Nov-20,8.296297826,8.462138736,8.219755868,8.355830461
4-Nov-20,8.508914378,8.534428364,8.194241882,8.385596778
5-Nov-20,8.483400392,8.500409716,8.385596778,8.457886405
6-Nov-20,8.313307151,8.483400392,8.30905482,8.398353771
9-Nov-20,8.97667079,9.648539092,8.946904473,9.189287341
10-Nov-20,9.30835261,9.844146319,9.274333962,9.814380002
11-Nov-20,9.929192939,9.93344527,9.525221492,9.729333381
12-Nov-20,9.669800747,9.703819395,9.257324638,9.316857272
13-Nov-20,9.363632913,9.695314733,9.30835261,9.623025106
16-Nov-20,9.865407974,10.04825821,9.835641657,9.903678953
17-Nov-20,9.801623009,10.26512709,9.771856692,10.07377219
18-Nov-20,10.20134212,10.26087476,10.01423956,10.01423956
19-Nov-20,10.01423956,10.18008047,9.937697601,10.1290525
20-Nov-20,10.13755716,10.20134212,9.980220912,10.05676287
23-Nov-20,10.22685611,10.67335087,10.22260378,10.67335087
24-Nov-20,10.90297674,11.34096684,10.90297674,11.14961194
25-Nov-20,11.14110728,11.26867721,10.91573374,11.16236894
26-Nov-20,11.03054667,11.03479901,10.8689581,10.9795187
27-Nov-20,11.02204201,11.08157465,10.82218245,10.84344411
30-Nov-20,10.74138816,11.00503269,10.56279026,10.58830425
1-Dec-20,10.8009208,10.95825705,10.75414516,10.88596742
2-Dec-20,10.88596742,11.26867721,10.77115448,11.01778968
3-Dec-20,11.11984563,11.43451812,11.07732232,11.32820985
4-Dec-20,11.56208805,11.72367663,11.50680775,11.70666731
7-Dec-20,11.5961067,11.81722791,11.34096684,11.48129376
8-Dec-20,11.40049947,11.5408264,11.25166789,11.33671451
9-Dec-20,11.32395752,11.46853677,11.2261539,11.45577978
10-Dec-20,11.56208805,11.99157349,11.53657407,11.82998491
11-Dec-20,11.68965798,11.83848957,11.60035903,11.72367663
14-Dec-20,11.91928386,12.0213398,11.74493829,11.74493829
15-Dec-20,11.82148024,11.90227453,11.75344295,11.8427419
16-Dec-20,11.8427419,12.00858281,11.68115332,11.98732115
17-Dec-20,12.0340968,12.07236778,11.93629318,12.00858281
18-Dec-20,11.94905018,12.04260146,11.91503153,11.94905018
21-Dec-20,11.56208805,11.68965798,11.27718187,11.48979842
22-Dec-20,11.56634038,11.68115332,11.50255542,11.60035903
23-Dec-20,11.664144,12.01283514,11.63012535,11.88526521
28-Dec-20,12.05961078,12.12764808,11.98306882,11.98306882
29-Dec-20,12.06811544,12.0893771,11.90227453,12.0213398
30-Dec-20,12.05535845,12.11489109,11.99157349,12.05110612
4-Jan-21,12.18292838,12.40830193,12.13190041,12.29348899
5-Jan-21,12.28923666,12.83353503,12.00858281,12.77400239
6-Jan-21,12.82503037,13.13970286,12.77825473,12.78675939
7-Jan-21,12.90157232,13.24601114,12.90157232,13.18222617
8-Jan-21,13.3778334,13.50540333,12.90582466,13.23325414
11-Jan-21,13.01638526,13.20774016,12.92708631,13.12269354
12-Jan-21,13.23325414,13.42035671,13.02488992,13.02488992
13-Jan-21,13.04615158,13.12269354,12.33175997,12.39554493
14-Jan-21,12.40404959,12.61666615,12.2126947,12.52311486
15-Jan-21,12.35302162,12.36577862,11.91928386,11.95755484
18-Jan-21,12.03834913,12.267975,11.9107792,11.93629318
19-Jan-21,12.11063875,12.27222733,11.75344295,12.19993771
20-Jan-21,12.31049831,12.38278794,11.95330251,11.99582582
21-Jan-21,11.91503153,12.07662011,11.69816265,11.71517197
22-Jan-21,11.45152745,11.58334971,11.2941912,11.51956474
26-Jan-21,11.58760204,11.89376987,11.4047518,11.48129376
27-Jan-21,11.40049947,11.97881649,11.2814342,11.64288234
28-Jan-21,11.61736836,12.09788176,11.61311602,11.80447092
29-Jan-21,11.70241498,11.77045227,11.3494715,11.3494715
1-Feb-21,11.59185437,11.77045227,11.40900414,11.70666731
2-Feb-21,12.07662011,12.3912926,11.99157349,12.18718071
3-Feb-21,12.32325531,12.3912926,12.18718071,12.267975
4-Feb-21,12.25947034,12.32750764,11.99582582,12.25521801
5-Feb-21,12.32325531,12.79526405,12.04260146,12.34026463
8-Feb-21,12.12339575,12.4593299,11.82148024,11.95330251
9-Feb-21,11.92778852,12.06386311,11.64288234,11.71091964
10-Feb-21,11.79596626,11.92353619,11.53232174,11.82148024
11-Feb-21,11.9660595,12.11914342,11.85124656,11.94054551
12-Feb-21,11.82573258,12.11489109,11.74068596,12.09362943
17-Feb-21,12.12764808,12.58689983,11.96180717,12.5826475
18-Feb-21,12.91858165,13.14820752,12.34876929,12.44657291
19-Feb-21,11.91928386,12.11489109,11.55358339,11.62162069
22-Feb-21,9.695314733,9.865407974,9.09998839,9.121250045
23-Feb-21,9.801623009,10.31615506,9.657043754,10.23110844
24-Feb-21,10.43947266,10.63082756,10.20984679,10.3756877
25-Feb-21,10.63082756,10.73713583,9.822884664,9.861155643
26-Feb-21,9.865407974,9.958959257,9.342371258,9.457184196
1-Mar-21,9.695314733,9.797370678,9.321109603,9.355128251
2-Mar-21,9.287090955,9.495455175,8.789568225,9.35087592
3-Mar-21,9.270081631,9.30835261,8.708773936,9.010689438
4-Mar-21,9.05746508,9.525221492,8.980923121,9.448679534
5-Mar-21,9.542230816,9.873912636,9.478445851,9.520969161
8-Mar-21,9.329614265,9.47419352,8.912885825,8.972418459
9-Mar-21,9.082979066,9.333866596,8.870362515,9.180782679
10-Mar-21,9.329614265,9.499707506,9.176530348,9.499707506
11-Mar-21,9.618772775,9.988725574,9.614520444,9.903678953
12-Mar-21,9.844146319,9.941949932,9.720828719,9.852650981
15-Mar-21,9.827136995,10.06526753,9.822884664,10.05676287
16-Mar-21,10.04825821,10.06951986,9.878164967,9.899426622
17-Mar-21,9.839893988,10.26087476,9.827136995,10.2396131
18-Mar-21,10.15456648,10.16307115,9.810127671,9.882417298
19-Mar-21,9.895174291,10.22260378,9.856903312,10.20559446
22-Mar-21,10.07377219,10.11204317,9.878164967,10.00148257
23-Mar-21,9.852650981,10.04825821,9.695314733,9.695314733
24-Mar-21,9.861155643,10.00998723,9.703819395,9.703819395
25-Mar-21,9.652791423,9.907931284,9.423165548,9.865407974
26-Mar-21,9.984473243,10.15456648,9.827136995,9.975968581
29-Mar-21,9.924940608,10.13330483,9.899426622,10.13330483
30-Mar-21,10.05251054,10.20134212,10.02274422,10.13330483
31-Mar-21,10.12054784,10.30339807,10.11204317,10.24811777
1-Apr-21,10.32891206,10.37143537,10.11204317,10.15881881
5-Apr-21,10.26087476,10.29064108,10.06951986,10.22260378
6-Apr-21,10.28213641,10.3629307,10.16732348,10.21409912
7-Apr-21,10.18008047,10.35017371,10.17582814,10.20559446
8-Apr-21,10.19708979,10.22260378,9.937697601,10.07802453
9-Apr-21,9.992977905,10.11204317,9.937697601,10.05676287
12-Apr-21,10.18858513,10.3629307,10.11204317,10.15881881
13-Apr-21,10.19708979,10.2523701,10.07377219,10.19283746
14-Apr-21,10.29064108,10.45222966,10.19708979,10.35442604
15-Apr-21,10.41720885,10.47434965,10.11831846,10.14908659
